dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate,delta_ci
synthetic,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.1145526587420749,0.1092148361757308,0.0260362026620467,0.0789123049151025,0.1681801619710044,0.0,1.0,"[0.0789, 0.1682]"
synthetic,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.0752570336731633,-0.0707028778579043,0.0264440069993921,-0.1329372341090345,-0.0448372201199439,1.0,0.0,"[-0.1329, -0.0448]"
synthetic,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.1235305087536663,0.1138625182563232,0.0318386283951879,0.0871858899080759,0.1895581103926884,0.0,1.0,"[0.0872, 0.1896]"
synthetic,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.0924329578026263,-0.0838066341406497,0.0302652862565952,-0.1544399744092327,-0.0567606864378816,1.0,0.0,"[-0.1544, -0.0568]"
synthetic,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-198.9989794596013,-224.0102389700023,30.809395921174534,-227.57218353162625,-155.95747949015183,1.0,0.0,"[-227.5722, -155.9575]"
synthetic,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-198.8850304617503,-223.88855625550056,30.801034019357747,-227.45120692879945,-155.8533481319271,1.0,0.0,"[-227.4512, -155.8533]"
synthetic,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0000, 0.0000]"
synthetic,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0000, 0.0000]"
synthetic,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,4.440892098500626e-17,0.0,1.986027322597818e-16,0.0,4.662936703425645e-16,0.0,0.05,"[0.0000, 0.0000]"
synthetic,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,4.440892098500626e-17,0.0,1.986027322597818e-16,0.0,4.662936703425645e-16,0.0,0.05,"[0.0000, 0.0000]"
synthetic,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-171.0602844234505,-191.1320584260011,25.91533061570803,-194.4645373720484,-132.92418788735148,1.0,0.0,"[-194.4645, -132.9242]"
synthetic,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-171.04679464469956,-191.11805196100067,25.914974371698936,-194.4507930119752,-132.91177108987367,1.0,0.0,"[-194.4508, -132.9118]"
synthetic,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,-2.220446049250313e-17,0.0,2.266710310712307e-16,-4.662936703425657e-16,2.3314683517128224e-16,0.05,0.05,"[-0.0000, 0.0000]"
