dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,vbpca_mean_variance_median,vbpca_mean_variance_std,vbpca_mean_variance_ci_low,vbpca_mean_variance_ci_high
diabetes,MCAR,block,0.1,5,1000x50,vbpca_vb_modern,200,0.7887833976662639,0.7801426288528417,0.15258912665941457,0.5139207791488953,1.0832822772731567,0.6036669074837975,0.5943281214342064,0.13528380465499315,0.38318139386686434,0.8614606050127842,26.127423258909694,29.06638152549931,4.905713981860193,16.14352392702167,31.212294817419938,0.1348355109418145,0.1347419866007861,0.012201454990426729,0.11511193555390606,0.16021847665770433
diabetes,MCAR,block,0.3,5,1000x50,mean_pca,200,0.06761232163482787,0.0658510065232836,0.01385471567507596,0.04795865044158496,0.10340042056426822,0.05426290536424322,0.05116039101009415,0.012817719926376533,0.03811339419071168,0.08756502768423521,0.0014828948050489466,0.0014913130034983,4.792960779955137e-05,0.00138556625315686,0.0015600559720041626,,,,,
diabetes,MCAR,block,0.3,5,1000x50,mice_pca,200,0.06761232163482787,0.0658510065232836,0.01385471567507596,0.04795865044158496,0.10340042056426822,0.05426290536424322,0.05116039101009415,0.012817719926376533,0.03811339419071168,0.08756502768423521,0.0038015236096907257,0.00384567899527605,0.0001599406366521166,0.003485042030115365,0.004002057126308428,,,,,
diabetes,MCAR,block,0.3,5,1000x50,vbpca_vb_modern,200,0.06756422890780224,0.0658510065232836,0.013903872876461849,0.04795865044158497,0.10340042056426822,0.05422791478738222,0.05116039101009405,0.012856388038055439,0.03777459885214139,0.08756502768423521,23.062092140679887,26.20186726999964,3.894493671033168,17.692797611427885,27.653623949401847,30.676232063020706,30.812844037380785,1.2976997159591506,28.20845328615736,32.88006766004132
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,200,0.06598772652770818,0.0619784224343934,0.014505281670491173,0.04844114442364344,0.1035166476767341,0.05302410556230026,0.0485765012466883,0.013041216832138235,0.038362265942299224,0.0849955610020315,0.0014860862354179921,0.0014900400019541502,4.250250906997031e-05,0.00139489257398961,0.00155667697272287,,,,,
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,200,0.06598772652770818,0.0619784224343934,0.014505281670491173,0.04844114442364344,0.1035166476767341,0.05302410556230026,0.0485765012466883,0.013041216832138235,0.038362265942299224,0.0849955610020315,0.003817073674872469,0.00384746949930555,0.00014887992872389066,0.00345686420096169,0.004057851070501707,,,,,
diabetes,MCAR,block,0.5,5,1000x50,vbpca_vb_modern,200,0.06598768214810212,0.0619784224343933,0.014505234164622027,0.04844114442364335,0.1035166476767341,0.05302403747149667,0.048576501246688344,0.01304114067141097,0.038362265942299224,0.08499556100203148,23.297143870540094,26.28375679950113,3.9208391928154542,17.70675381735473,27.682898378421307,30.89291428831783,30.871780665078383,1.0609676767635934,28.66930139682191,32.73922650607256
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,200,0.8271422430336934,0.8310891893755487,0.030898156937669702,0.7663689749019561,0.8793655756728532,0.6522441730273937,0.6548485228905695,0.02392430842181791,0.6046753473036625,0.6912356398593006,0.0015207937551894618,0.00153125799988625,7.695609813314991e-05,0.0012233712272062798,0.0016247873487372775,,,,,
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,200,0.709057510089166,0.7063393879750721,0.031981520757307196,0.6572437808122502,0.7705041636685613,0.510283349654436,0.5097929291049581,0.023658747813837557,0.4669384400203713,0.5515013804169601,0.3223652558099275,0.32505702550042764,0.08807396869780912,0.11169566337157447,0.4840722115275639,,,,,
diabetes,MCAR,random,0.1,5,1000x50,vbpca_vb_modern,200,0.7566770317753323,0.7553340882337837,0.031141638224340035,0.7016650045160012,0.8129971175194103,0.5704590839348265,0.5709303515905013,0.02389372587432477,0.5192879626909489,0.6125140304401896,25.63024474822021,28.74533555300513,4.6828300419645466,16.151295598325852,31.11884057107363,0.14344313834023875,0.14341629303228448,0.0020287535151173337,0.13950736994917876,0.14781204677161902
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,200,0.8770828998900615,0.877064690721903,0.022262269916413346,0.8368971101185312,0.9238410925174018,0.6996148322311805,0.6997631228366237,0.01733537899746147,0.667924059282248,0.7363257211513958,0.001539705170216573,0.0015469425015907502,4.806652915778207e-05,0.0014285621729868275,0.0016258636282145702,,,,,
