method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,vbpca_selected_k,k_used,dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout,scaling,vbpca_model_selection,use_selected_k_for_all_methods
vbpca_vb_modern,0.07380804166741564,0.055725165196191986,597.722359104002,0.0015241136586825411,,,,22,22,synthetic,MCAR,random,0.3,5,1000x50,5,1858049479,2031390834,643037983,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7039049041018552,0.5455449762441719,0.0034705599973676726,,,,,22,22,synthetic,MCAR,random,0.3,5,1000x50,6,1129167025,1131814256,1166011179,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.07148872080893845,0.05593592107248614,0.8722550840029726,,True,7.0,False,22,22,synthetic,MCAR,random,0.3,5,1000x50,6,1129167025,1131814256,1166011179,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.06490005716091876,0.0510061703616437,751.8588956489984,0.0012028313492315947,,,,22,22,synthetic,MCAR,random,0.3,5,1000x50,6,1129167025,1131814256,1166011179,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7213609073741798,0.5595894357948411,0.003711421995831188,,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,7,153516747,794201560,1252494947,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.07472879645808499,0.05788058403016626,1.0122281660005683,,True,8.0,False,23,23,synthetic,MCAR,random,0.3,5,1000x50,7,153516747,794201560,1252494947,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.0670408406084559,0.052297418788376855,664.9119276929996,0.0012532274439387807,,,,23,23,synthetic,MCAR,random,0.3,5,1000x50,7,153516747,794201560,1252494947,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7132726766591979,0.5524267451328757,0.0033806049978011288,,,,,22,22,synthetic,MCAR,random,0.3,5,1000x50,8,1972064322,510900102,1383168686,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.0762754912630929,0.0577226728728472,1.0052008089987794,,True,8.0,False,22,22,synthetic,MCAR,random,0.3,5,1000x50,8,1972064322,510900102,1383168686,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.06839052127713349,0.05225212372779603,623.3090646919954,0.0013227603749063784,,,,22,22,synthetic,MCAR,random,0.3,5,1000x50,8,1972064322,510900102,1383168686,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7213587646011096,0.5616053281977264,0.0036997900024289265,,,,,24,24,synthetic,MCAR,random,0.3,5,1000x50,9,1642746920,1984971981,372871098,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.07406294576059688,0.057030086914424655,1.117877443000907,,True,9.0,False,24,24,synthetic,MCAR,random,0.3,5,1000x50,9,1642746920,1984971981,372871098,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.06606859494724747,0.05112806065937505,729.748063580002,0.0012356439253592938,,,,24,24,synthetic,MCAR,random,0.3,5,1000x50,9,1642746920,1984971981,372871098,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.738073475769574,0.5735023795380301,0.0038814110012026504,,,,,24,24,synthetic,MCAR,random,0.3,5,1000x50,10,1448038571,671608880,944998020,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.08364866167127025,0.06410380914600346,1.1531832010005019,,True,8.0,False,24,24,synthetic,MCAR,random,0.3,5,1000x50,10,1448038571,671608880,944998020,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.07483859259984116,0.05804036735297742,1009.354810867997,0.0015618419494333612,,,,24,24,synthetic,MCAR,random,0.3,5,1000x50,10,1448038571,671608880,944998020,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7153251445582214,0.5567031945541498,0.003464142995653674,,,,,22,22,synthetic,MCAR,random,0.3,5,1000x50,11,31083701,1551035837,69904718,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.07814057642744973,0.0602817863471049,1.161182841999107,,True,8.0,False,22,22,synthetic,MCAR,random,0.3,5,1000x50,11,31083701,1551035837,69904718,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.07033472906388227,0.054735072962443336,922.1632578600038,0.0013789742300000557,,,,22,22,synthetic,MCAR,random,0.3,5,1000x50,11,31083701,1551035837,69904718,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7402852706552246,0.578624882548159,0.00296590799553087,,,,,24,24,synthetic,MCAR,random,0.3,5,1000x50,12,803059054,1066659082,1436707478,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.08197709968915122,0.06373656552126897,0.6641982989967801,,True,7.0,False,24,24,synthetic,MCAR,random,0.3,5,1000x50,12,803059054,1066659082,1436707478,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.07269576381235092,0.057001791266692574,611.3948121689973,0.001487920996507069,,,,24,24,synthetic,MCAR,random,0.3,5,1000x50,12,803059054,1066659082,1436707478,1000,50,15000,zscore_observed_only,True,True
mean_pca,0.7452146139383867,0.5810599984652067,0.0036236579981050454,,,,,24,24,synthetic,MCAR,random,0.3,5,1000x50,13,1005693509,1801464637,274212879,1000,50,15000,zscore_observed_only,True,True
mice_pca,0.07564439557789303,0.05800470963927562,1.0212859039966133,,True,8.0,False,24,24,synthetic,MCAR,random,0.3,5,1000x50,13,1005693509,1801464637,274212879,1000,50,15000,zscore_observed_only,True,True
vbpca_vb_modern,0.06819641230224767,0.05285382855739641,881.8832670729971,0.0013245949243713452,,,,24,24,synthetic,MCAR,random,0.3,5,1000x50,13,1005693509,1801464637,274212879,1000,50,15000,zscore_observed_only,True,True
