dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout,scaling,vbpca_model_selection,use_selected_k_for_all_methods,trace_k,trace_rms,trace_prms,trace_cost
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,17,0.04201719927982525,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,18,0.04112562258327918,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,19,0.04038833564581223,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,20,0.039576603185207095,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,21,0.038945855263138686,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,22,0.03845876334474422,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,23,0.038107251956219626,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,24,0.0378836024152049,,
synthetic,MCAR,random,0.1,5,1000x50,6,1850933495,1911030005,53841429,1000,50,5000,zscore_observed_only,True,True,25,0.038040895384765606,,
synthetic,MCAR,random,0.1,5,1000x50,7,1101595663,575885763,526057474,1000,50,5000,zscore_observed_only,True,True,1,0.8993445807858125,,
synthetic,MCAR,random,0.1,5,1000x50,7,1101595663,575885763,526057474,1000,50,5000,zscore_observed_only,True,True,2,0.7976583867243061,,
synthetic,MCAR,random,0.1,5,1000x50,7,1101595663,575885763,526057474,1000,50,5000,zscore_observed_only,True,True,3,0.697179101595292,,
synthetic,MCAR,random,0.1,5,1000x50,7,1101595663,575885763,526057474,1000,50,5000,zscore_observed_only,True,True,4,0.5786898184042492,,
synthetic,MCAR,random,0.1,5,1000x50,7,1101595663,575885763,526057474,1000,50,5000,zscore_observed_only,True,True,5,0.4796955361791706,,
synthetic,MCAR,random,0.1,5,1000x50,7,1101595663,575885763,526057474,1000,50,5000,zscore_observed_only,True,True,6,0.36909362790482214,,
synthetic,MCAR,random,0.1,5,1000x50,7,1101595663,575885763,526057474,1000,50,5000,zscore_observed_only,True,True,7,0.23878065776667534,,
synthetic,MCAR,random,0.1,5,1000x50,7,1101595663,575885763,526057474,1000,50,5000,zscore_observed_only,True,True,8,0.06035263656717298,,
synthetic,MCAR,random,0.1,5,1000x50,7,1101595663,575885763,526057474,1000,50,5000,zscore_observed_only,True,True,9,0.05755763752824757,,
synthetic,MCAR,random,0.1,5,1000x50,7,1101595663,575885763,526057474,1000,50,5000,zscore_observed_only,True,True,10,0.055693287577294415,,
